
========================================
Start Time             : 2026-07-15T00:35:25.243569
========================================
84 | toUpperCase | mcdc | 100.00% | 5.40ms | 209.55MB | 3 cases
24 | zFunction | mcdc | 70.00% | 5.54ms | 210.44MB | 1 cases

========================================
Start Time             : 2026-07-15T03:52:09.410096
========================================
54 | lengthOfLongestSubstring | statement | 100.00% | 5.04ms | 115.41MB | 1 cases
42 | myAtoi | statement | 56.00% | 1.82ms | 129.62MB | 2 cases
66 | longestCommonPrefix | statement | 90.00% | 19.59ms | 143.46MB | 2 cases
44 | strStr | statement | 100.00% | 8.49ms | 113.46MB | 5 cases
40 | longestValidParentheses | statement | 57.14% | 3.78ms | 217.18MB | 2 cases
68 | multiply | statement | 100.00% | 40.97ms | 98.25MB | 2 cases
6 | isPalindrome | statement | 100.00% | 11.36ms | 203.91MB | 5 cases
38 | isOneEditDistance | statement | 92.31% | 6.51ms | 173.31MB | 5 cases
34 | numDecodings | statement | 90.91% | 1.93ms | 149.34MB | 2 cases
22 | compareVersion | statement | 80.00% | 3.74ms | 122.63MB | 1 cases
74 | titleToNumber | statement | 100.00% | 2.90ms | 233.29MB | 1 cases
62 | shortestPalindrome | statement | 100.00% | 29.81ms | 202.18MB | 2 cases
64 | isAnagram | statement | 92.86% | 6.78ms | 177.49MB | 3 cases
60 | shortestDistance | statement | 100.00% | 4.93ms | 162.17MB | 1 cases
32 | shortestWordDistance | statement | 84.21% | 6.42ms | 171.84MB | 2 cases
20 | getHint | statement | 93.75% | 38.27ms | 164.95MB | 2 cases
14 | reverseString | statement | 100.00% | 2.01ms | 202.16MB | 1 cases
48 | canConstruct | statement | 72.73% | 3.30ms | 218.31MB | 3 cases
12 | firstUniqChar | statement | 75.00% | 2.48ms | 116.02MB | 2 cases
78 | findTheDifference | statement | 66.67% | 3.15ms | 150.03MB | 3 cases
56 | isSubsequence | statement | 100.00% | 3.09ms | 133.79MB | 1 cases
70 | toHex | statement | 90.00% | 1.61ms | 157.95MB | 2 cases
50 | validWordAbbreviation | statement | 100.00% | 11.29ms | 182.93MB | 4 cases
80 | longestPalindrome | statement | 92.31% | 26.55ms | 132.38MB | 2 cases
52 | characterReplacement | statement | 70.00% | 2.63ms | 129.77MB | 3 cases
76 | findLUSlength | statement | 66.67% | 0.54ms | 139.35MB | 1 cases
3 | findLUSlength | statement | 85.71% | 28.11ms | 108.13MB | 2 cases
4 | check | statement | 100.00% | 3.19ms | 135.44MB | 1 cases
30 | checkRecord | statement | 66.67% | 1.15ms | 111.60MB | 2 cases
16 | countSubstrings | statement | 100.00% | 8.65ms | 211.96MB | 1 cases
18 | findSubstringInWraproundString | statement | 80.00% | 2.30ms | 196.41MB | 1 cases
72 | repeatedStringMatch | statement | 18.18% | 0.59ms | 190.29MB | 1 cases
46 | countBinarySubstrings | statement | 100.00% | 4.75ms | 196.84MB | 1 cases
26 | scoreOfParentheses | statement | 80.00% | 2.40ms | 186.29MB | 3 cases
58 | match | statement | 91.67% | 4.74ms | 184.19MB | 1 cases
10 | numPermsDISequence | statement | 81.48% | 25.14ms | 187.73MB | 2 cases
24 | isLongPressedName | statement | 88.89% | 6.67ms | 234.79MB | 2 cases
36 | minFlipsMonoIncr | statement | 100.00% | 6.80ms | 240.22MB | 2 cases


========================================
